img_path,m1
Scene/GT/trainInTrain/000000049979.png,0
Scene/GT/trainInTrain/000000402027.png,0
Scene/GT/trainInTrain/000000303610.png,0
Scene/GT/trainInTrain/000000315072.png,0
Scene/GT/trainInTrain/000000279816.png,0
Scene/GT/trainInTrain/000000336873.png,0
Scene/GT/trainInTrain/000000195806.png,0
Scene/GT/trainInTrain/000000393203.png,0
Scene/GT/trainInTrain/000000120703.png,0
Scene/GT/trainInTrain/000000071558.png,0
Scene/GT/trainInTrain/000000039520.png,0
Scene/GT/trainInTrain/000000132307.png,0
Scene/GT/trainInTrain/000000153921.png,0
Scene/GT/trainInTrain/000000051844.png,0
Scene/GT/trainInTrain/000000519361.png,0
Scene/GT/trainInTrain/000000195812.png,0
Scene/GT/trainInTrain/000000120717.png,0
Scene/GT/trainInTrain/000000359278.png,0
Scene/GT/trainInTrain/000000145825.png,0
Scene/GT/trainInTrain/000000217103.png,0
Scene/GT/trainInTrain/000000550761.png,0
Scene/GT/trainInTrain/000000387504.png,0
Scene/GT/trainInTrain/000000458467.png,0
Scene/GT/trainInTrain/000000093287.png,0
Scene/GT/trainInTrain/000000334080.png,0
Scene/GT/trainInTrain/000000268927.png,0
Scene/GT/trainInTrain/000000250506.png,0
Scene/GT/trainInTrain/000000085383.png,0
Scene/GT/trainInTrain/000000142804.png,0
Scene/GT/trainInTrain/000000173401.png,0
Scene/GT/trainInTrain/000000001083.png,0
Scene/GT/trainInTrain/000000001083.png,0
Scene/GT/trainInTrain/000000539099.png,0
Scene/GT/trainInTrain/000000417416.png,0
Scene/GT/trainInTrain/000000280257.png,0
Scene/GT/trainInTrain/000000562937.png,0
Scene/GT/trainInTrain/000000447235.png,0
Scene/GT/trainInTrain/000000555143.png,0
Scene/GT/trainInTrain/000000474827.png,0
Scene/GT/trainInTrain/000000389273.png,0
Scene/GT/trainInTrain/000000498657.png,0
Scene/GT/trainInTrain/000000452638.png,0
Scene/GT/trainInTrain/000000295896.png,0
Scene/GT/trainInTrain/000000216221.png,0
Scene/GT/trainInTrain/000000513670.png,0
Scene/GT/trainInTrain/000000306998.png,0
Scene/GT/trainInTrain/000000127911.png,0
Scene/GT/trainInTrain/000000272758.png,0
Scene/GT/trainInTrain/000000253796.png,0
Scene/GT/trainInTrain/000000082375.png,0
Scene/GT/trainInTrain/000000518916.png,0
Scene/GT/trainInTrain/000000041458.png,0
